City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Mantua,IT,45.1667,10.7833,90.21,76,99,9.55,overcast clouds
328,Alyangula,AU,-13.8483,136.4192,65.41,82,20,4.76,few clouds
329,Westport,US,41.1415,-73.3579,96.94,44,0,11.5,clear sky
330,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,87.46,19,7,5.95,clear sky
331,Byron Bay,AU,-28.65,153.6167,54.95,85,69,11.01,broken clouds
332,Villamontes,BO,-21.25,-63.5,89.2,32,6,6.13,clear sky
333,Flin Flon,CA,54.7682,-101.865,58.84,82,100,8.05,overcast clouds
334,Sao Felix Do Xingu,BR,-6.6447,-51.995,92.53,27,100,2.98,overcast clouds
335,Long Eaton,GB,52.8985,-1.2714,71.78,75,20,17.27,few clouds
336,Asau,RO,46.4333,26.4,72.52,58,21,3.58,few clouds
337,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,77,93,4.05,overcast clouds
338,Prescott,US,34.54,-112.4685,92.66,35,20,5.01,few clouds
339,Beyneu,KZ,45.3167,55.2,82.08,36,45,16.64,scattered clouds
340,Hofn,IS,64.2539,-15.2082,53.38,81,92,2.44,overcast clouds
341,Lorengau,PG,-2.0226,147.2712,81.03,80,21,5.61,few clouds
342,Mitu,CO,1.1983,-70.1733,74.03,98,100,1.36,overcast clouds
